ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	VALUE	TOKENS	MORPHEMES	COMMENT	SOURCE	PROTO_SET	ENTRY_IN_SOURCE	CONCEPT_IN_SOURCE	UNCERTAIN_COGNACY
1369	j u n t u - -	761		soup, broth	Katukina	yuntu		j u n t u		None		§85	Kat **yuntu ‘sopa de peixe’		1
1370	w ɨ t ɨ̃ - ( - )	501		soup, broth	Amawaka	wɨtɨ̃		w ɨ t ɨ̃		II		§85	A wɨtɨ̃ II ‘bebida hecha de maíz dulce’		None
1371	b ɨ t ɨ̃ - ( - )	501		soup, broth	Kaxinawa	bɨtɨ̃		b ɨ t ɨ̃		None		§85	Kn bɨtɨ̃ ‘sopa que contiene carne’		None
1372	ɸ !ɨ́/ɨ t ɨ̃ - ( - )	501		soup, broth	Marinawa	ɸɨ́tɨ̃		ɸ !ɨ́/ɨ t ɨ̃		None		§85	M ɸɨ́tɨ̃ ‘sopa que contiene carne’		None
1373	β ɨ t ɨ n ( - )	501		soup, broth	Korubo	βɨtɨn		β ɨ t ɨ n		None		§85	Ko βɨtɨn ‘sopa;; caldo;; mingau’		None
1374	b ɨ t ɨ n ( - )	501		soup, broth	Matis	bɨtɨn		b ɨ t ɨ n		None		§85	Mt bɨtɨn ‘sopa’		None
1375	β ɨ ( - - - - - - - - - - - )	502		face	Proto-Panoan	βɨ-		β ɨ		None	Oliveira2014	§86	*βɨ- ‘rosto;;  cara (prefixo parte do corpo)’		None
1376	β ɨ ( + t - - ó/o n k o - - - )	502		face	ShipiboKonibo	βɨ-tónko		β ɨ + t ó/o n k o		None		§86	SK βɨ-tónko, βɨtónkonín ‘frente;;  parte superior del rostro’ (LOOS; LOOS;; 1998)		None
1377	β ɨ ( - t - - !ó/o n k o n !í/i n )	502		face	ShipiboKonibo	βɨtónkonín		β ɨ t !ó/o n k o n !í/i n		None	Loos1998	§86	SK βɨ-tónko, βɨtónkonín ‘frente;;  parte superior del rostro’ (LOOS; LOOS;; 1998)		None
1378	β ɨ ( + t - - o n k o - - - )	502		face	Kapanawa	βɨ-tonko		β ɨ + t o n k o		None		§86	Kp βɨ-tonko		None
1379	tʃ ɨ ( - t - - ũ - k u - - - )	592		forehead, face	Kaxarari	tʃɨtũˈku		tʃ ɨ t ũ k u		None		§86	Kax **tʃɨ-tũˈku [tʃɨtũˈku] ‘testa’		1
1380	ɸ ɨ ( + t - - o - k o - - - )	502		face	Chaninawa	ɸɨ-toko		ɸ ɨ + t o k o		None		§86	Chan ɸɨ-toko		None
1381	β ɨ ( + t - - u h k u - - - )	502		face	Poyanawa	βɨ-tuhku		β ɨ + t u h k u		None		§86	Poy βɨ-tuhku ‘punhos’		None
1382	w ɨ ( + - m ã - - k o - - - )	502		forehead, face	Amawaka	wɨ-mãko		w ɨ + m ã k o		None		§86	A wɨ-mãko ‘frente’		None
1383	b ɨ ( + t - - ũ - k u - - - )	502		face	Kaxinawa	bɨ-tũku		b ɨ + t ũ k u		None		§86	Kn bɨ-tũku		None
1384	β i tʳ ( - - - - )	503		to catch	Proto-Panoan	βiCc-		β i tʳ		None	Oliveira2014	§87	*βiCc- ‘pegar’		None
1385	β i - ( - - - - )	503		to catch	Kakataibo	βi-		β i		None		§87	Ksh βi-		None
1386	β i - ( - - - - )	503		to catch	ShipiboKonibo	βi-		β i		None		§87	SK βi-		None
1387	β i - ( - - - - )	503		to catch	Kapanawa	βi		β i		None		§87	Kp βi, **βiʔ-kin ‘agarrar’ (LOOS; LOOS;; 1998)		None
1388	β i ʔ ( + k i n )	774		to catch	Kapanawa	βiʔ-kin		β i ʔ + k i n		None	Loos1998	§87	Kp βi, **βiʔ-kin ‘agarrar’ (LOOS; LOOS;; 1998)		1
1389	v i - ( - - - - )	503		to catch	Marubo	vi		v i		None		§87	Mar vi ‘pegar’		None
1390	β i - ( - - - - )	503		to catch	Chakobo	βi-		β i		None	Zingg1998	§87	Ch βi- ‘coger’ (ZINGG;; 1998)		None
1391	ɸ i - ( - - - - )	503		to catch	Yaminawa	ɸi		ɸ i		None	Faust2002	§87	Yam ɸi ‘traer;;  coger’ (FAUST; LOOS;; 2002)		None
1392	ɸ i - ( - - i - )	503		to catch	Chaninawa	ɸii		ɸ i i		None		§87	Chan ɸii, bii ‘traer’		None
1393	b i - ( - - i - )	503		to bring, to search	Chaninawa	bii		b i i		None		§87	Chan ɸii, bii ‘traer’		None
1394	ɸ i - ( - - i - )	503		to catch	Sharanawa	ɸii		ɸ i i		None		§87	Shar ɸii ‘coger’		None
1395	f i - ( - - - - )	503		to bring, to search	Shanenawa	fi		f i		None		§87	Shan fi ‘trazer’		None
1396	β i - ( + a i - )	503		to catch	Katukina	βi-ai		β i + a i		None		§87	Kat βi-ai ‘comprar’		None
1397	w i - ( - - - - )	503		to catch	Amawaka	wi-		w i		None		§87	A wi-		None
1398	b i - ( - - - - )	503		to catch	Kaxinawa	bi-		b i		None		§87	Kn bi-		None
1399	ɸ !í/i - ( - - - - )	503		to catch	Marinawa	ɸí-		ɸ !í/i		None		§87	M ɸí- ‘obtener;;  recibir’		None
1400	b e t ( - - - - )	503		to catch	Korubo	bet		b e t		None		§87	Ko bet ‘pegar’		None
1401	b e d ( + k i n )	503		to catch	Matis	bed-kin		b e d + k i n		None		§87	Mt bed-kin ‘pegar’		None
1402	b e d ( - - - - )	503		to catch	Mayoruna	bed		b e d		None		§87	My bed ‘coger;; agarrar;; capturar’		None
1403	( - - - - ) β i ts i ( - )	504		skin, leather	Proto-Panoan	βitsi		β i ts i		None	Oliveira2014	§88	*βitsi ‘pele;;  couro’		None
1404	( - - - - ) β i tʃ i ( - )	504		skin, leather	ShipiboKonibo	βitʃi		β i tʃ i		None		§88	SK βitʃi		None
1405	( - - - - ) β i tʃ - ( - )	504		skin, leather	Kapanawa	βitʃI		β i tʃ		None		§88	Kp βitʃI		None
1406	( - - - - ) v i tʃ i ( - )	504		skin, leather	Marubo	vitʃi		v i tʃ i		(CESARINO, 2008,  cf. MELATTI; MELATTI, 1975		§88	Mar vitʃi ‘escudo (feito de couro)’ (CESARINO;; 2008;;  cf. MELATTI; MELATTI;; 1975)		None
1407	( - - - - ) β i tʃ i ( - )	504		skin, leather	Chakobo	βitʃi		β i tʃ i		None		§88	Ch βitʃi		None
1408	( - - - - ) b i tʃ i ( - )	504		skin, leather	Kaxarari	biˈtʃi		b i tʃ i		None		§88	Kax biˈtʃi ‘pele’		None
1409	( - - - - ) ɸ i tʃ i ( - )	504		skin, leather	Chaninawa	ɸitʃi		ɸ i tʃ i		None		§88	Chan ɸitʃi		None
1410	( - - - - ) ɸ i tʃ i ( - )	504		skin, leather	Sharanawa	ɸitʃi		ɸ i tʃ i		None		§88	Shar ɸitʃi, ɸitʃin ‘cuero;;  piel’, iwi ɸitʃi ‘corteza;;  carapa’		None
1411	( - - - - ) ɸ i tʃ i ( n )	504		skin, leather	Sharanawa	ɸitʃin		ɸ i tʃ i n		None		§88	Shar ɸitʃi, ɸitʃin ‘cuero;;  piel’, iwi ɸitʃi ‘corteza;;  carapa’		None
1412	( i w i + ) ɸ i tʃ i ( - )	504		skin, leather	Sharanawa	iwi_ɸitʃi		i w i + ɸ i tʃ i		None		§88	Shar ɸitʃi, ɸitʃin ‘cuero;;  piel’, iwi ɸitʃi ‘corteza;;  carapa’		None
1413	( - - - - ) f i tʃ i ( - )	504		skin, leather	Shanenawa	fitʃi		f i tʃ i		None		§88	Shan fitʃi ‘pele’		None
1414	( - - - - ) b i tʃ i ( - )	504		skin, leather	Kaxinawa	bitʃi		b i tʃ i		None		§88	Kn bitʃi		None
1415	( - - - - ) ɸ i tʃ - ( - )	504		skin, leather	Marinawa	ɸitʃI		ɸ i tʃ		None		§88	M ɸitʃI		None
1416	( - - - - ) β ɨ tʃ i ( - )	504		skin, leather	Yawanawa	βɨtʃi		β ɨ tʃ i		None		§88	Yaw βɨtʃi ‘pele’		None
1417	( - - - - ) b i ts i ( - )	504		skin, leather	Matis	bitsi		b i ts i		None		§88	Mt bitsi		None
1418	( - - - - ) b i ts i ( - )	504		skin, leather	Mayoruna	biˈtsi		b i ts i		None		§88	My biˈtsi ‘piel;; cuero;; escama;; etc’		None
1419	β i tʃ o ( - )	505		species of heron	Proto-Panoan	βitʃo		β i tʃ o		None	Oliveira2014	§89	*βitʃo ‘esp.degarça’		None
1420	β i tʃ o ( - )	505		species of heron	Kakataibo	βitʃo		β i tʃ o		None		§89	Ksh βitʃo		None
1421	ɸ i tʃ o ( - )	505		species of heron	Sharanawa	ɸitʃo		ɸ i tʃ o		None		§89	Shar ɸitʃo, ɸitʃon ‘garza’		None
1422	ɸ i tʃ o ( n )	505		species of heron	Sharanawa	ɸitʃon		ɸ i tʃ o n		None		§89	Shar ɸitʃo, ɸitʃon ‘garza’		None
1423	f i tʃ u ( - )	505		species of heron	Shanenawa	fitʃu		f i tʃ u		None		§89	Shan fitʃu ‘garça’		None
1424	w i tʃ o ( - )	505		species of heron	Amawaka	witʃo_I		w i tʃ o		None		§89	A witʃo I		None
1425	b i tʃ u ( - )	505		species of heron	Kaxinawa	bitʃu		b i tʃ u		None		§89	Kn bitʃu		None
1426	ɸ i tʃ o ( - )	505		species of heron	Marinawa	ɸitʃo		ɸ i tʃ o		None		§89	M ɸitʃo ‘garza’		None
1427	β i tʃ u ( - )	505		species of heron	Yawanawa	βitʃu		β i tʃ u		None		§89	Yaw βitʃu ‘garça’		None
1428	β i ( - - - - - )	507		mosquito	Proto-Panoan	βi		β i		None	Oliveira2014	§90	βi ‘carapanã’		None
1429	β i ( i - - - - )	507		mosquito	Kakataibo	βii		β i i		None		§90	Ksh βii, **βi ‘zancudo’ (SHELL;; 1987)		None
1430	β i ( - - - - - )	539		mosquito	Kakataibo	βi		β i		None	Shell1987	§90	Ksh βii, **βi ‘zancudo’ (SHELL;; 1987)		1
1431	β i ( !í/i - - - - )	507		mosquito	ShipiboKonibo	βií		β i !í/i		None		§90	SK βií, **βíi ‘zancudo’ (LORIOT; LAURIAULT; DAY;; 1993)		None
1432	β !í/i ( i - - - - )	728		mosquito	ShipiboKonibo	βíi		β !í/i i		None	Loriot1993	§90	SK βií, **βíi ‘zancudo’ (LORIOT; LAURIAULT; DAY;; 1993)		1
1433	β i ( i - - - - )	507		mosquito	Kapanawa	βii		β i i		None		§90	Kp βii		None
1434	β i ( i - - - - )	507		mosquito	Chakobo	βii		β i i		None		§90	Ch βii ‘zancudo’		None
1435	w !í/i ( !í/i - - - - )	507		mosquito	Amawaka	wíí_I		w !í/i !í/i		None		§90	A wíí I		None
1436	b i ( - - - - - )	507		mosquito	Kaxinawa	bi		b i		None		§90	Kn bi		None
1437	ɸ ĩ ( - - - - - )	507		mosquito	Marinawa	ɸĩ		ɸ ĩ		None		§90	M ɸĩ		None
1438	v i ( - - - - - )	507		mosquito	Marubo	vi		v i		None	Anonby2010	§90	Mar vi ‘carapanã’ (ANONBY; HOLBROOK;; 2010)		None
1439	β i ( i - - - - )	507		mosquito	Katukina	βii		β i i		None		§90	Kat βii ‘carapanã’		None
1440	β i ( - - - - - )	507		mosquito	Yawanawa	βi		β i		None		§90	Yaw βi ‘carapanã’		None
1441	β i ( - - - - - )	507		mosquito	Poyanawa	βi		β i		None		§90	Poy βi ‘carapanã’		None
1442	ɸ i ( ĩ - - - - )	507		mosquito	Yaminawa	ɸiĩ		ɸ i ĩ		None	Faust2002	§90	Yam ɸiĩ ‘zancudo ergativo’ (FAUST; LOOS;; 2002)		None
1443	ɸ i ( i n - - - )	507		mosquito	Sharanawa	ɸiin		ɸ i i n		None		§90	Shar ɸiin, ɸiinman ‘zancudo’		None
1444	ɸ i ( i n m a n )	507		mosquito	Sharanawa	ɸiinman		ɸ i i n m a n		None		§90	Shar ɸiin, ɸiinman ‘zancudo’		None
1445	b i ( - u ʂ - - )	507		mosquito	Matis	biuʂ		b i u ʂ		None		§90	Mt biuʂ ‘mosquito;;  carapanã’		None
1446	b i ( - u ʂ - - )	507		mosquito	Mayoruna	biuʂ		b i u ʂ		None		§90	My biuʂ ‘mosquito;;  zancudo’		None
1447	β i m i ( - )	508		fruit	Proto-Panoan	βimi		β i m i		None	Oliveira2014	§91	*βimi ‘fruto’		None
1448	β i m i ( - )	508		fruit	Kakataibo	βimi		β i m i		None		§91	Ksh βimi		None
1449	β i m i ( - )	508		fruit	ShipiboKonibo	βimi		β i m i		None		§91	SK βimi		None
1450	β i m i ( - )	508		fruit	Kapanawa	βimi		β i m i		None		§91	Kp βimi		None
1451	v i m i ( - )	508		fruit	Marubo	ˈvimi		v i m i		None		§91	Mar vimi [ˈvimi ~ ˈvĩmbi] ‘fruta’		None
1452	β i m i ( - )	508		fruit	Chakobo	βimi		β i m i		None		§91	Ch βimi ‘fruto’		None
1453	b i m i ( - )	508		fruit	Kaxarari	biˈmi		b i m i		None		§91	Kax biˈmi		None
1454	ɸ i m i ( - )	508		fruit	Yaminawa	ɸimi		ɸ i m i		None	Faust2002	§91	Yam ɸimi ‘fruto’ (FAUST; LOOS;; 2002)		None
1455	ɸ i b i ( - )	508		fruit	Chaninawa	ɸibi		ɸ i b i		None		§91	Chan ɸibi, huibi ‘fruta’		None
1456	h ( u ) i b i -	596		fruit	Chaninawa	huibi		h u i b i		None		§91	Chan ɸibi, huibi ‘fruta’		None
1457	ɸ i m i ( - )	508		fruit	Sharanawa	ɸimi		ɸ i m i		None		§91	Shar ɸimi, ɸimin ‘fruto’		None
1458	ɸ i m i ( n )	508		fruit	Sharanawa	ɸimin		ɸ i m i n		None		§91	Shar ɸimi, ɸimin ‘fruto’		None
1459	f i m i ( - )	508		fruit	Shanenawa	fimi		f i m i		None		§91	Shan fimi		None
1460	β i m i ( - )	508		fruit	Katukina	βimi		β i m i		None		§91	Kat βimi		None
1461	w i m i ( - )	508		fruit	Amawaka	wimi		w i m i		None		§91	A wimi		None
1462	b i m i ( - )	508		fruit	Kaxinawa	bimi_I		b i m i		None		§91	Kn bimi I		None
1463	ɸ i m i ( - )	508		fruit	Marinawa	ɸimi		ɸ i m i		None		§91	M ɸimi		None
1464	β i m i ( - )	508		fruit	Yawanawa	βimi		β i m i		None		§91	Yaw βimi		None
1465	β i r a ( - )	509		marimbondo, caba	Proto-Panoan	βira		β i r a		None	Oliveira2014	§92	*βira ‘marimbondo;;  caba’		None
1466	β i n a ( - )	509		marimbondo, caba	Kakataibo	βina		β i n a		None		§92	Ksh βina		None
1467	β i n a ( - )	509		marimbondo, caba	ShipiboKonibo	βina		β i n a		None		§92	SK βina		None
1468	β i n a ( - )	509		marimbondo, caba	Kapanawa	βina		β i n a		None		§92	Kp βina		None
1469	v i n a ( - )	509		marimbondo, caba	Marubo	vina		v i n a		None	Cesarino2008	§92	Mar vina ‘vespa;;  marimbondo’ (CESARINO;; 2008)		None
1470	β i n a ( - )	509		marimbondo, caba	Chakobo	βina		β i n a		None		§92	Ch βina		None
1471	b i l a ( - )	509		marimbondo, caba	Kaxarari	biˈla		b i l a		None	Couto2005	§92	Kax biˈla [biˈla] ‘abelha’ (COUTO;; 2005)		None
1472	ɸ i n a ( - )	509		marimbondo, caba	Yaminawa	ɸina		ɸ i n a		None	Faust2002	§92	Yam ɸina ‘avispa’ (FAUST; LOOS;; 2002)		None
1473	ɸ i n a ( - )	509		marimbondo, caba	Sharanawa	ɸina		ɸ i n a		None		§92	Shar ɸina, ɸinan ‘avispa’		None
1474	ɸ i n a ( n )	509		marimbondo, caba	Sharanawa	ɸinan		ɸ i n a n		None		§92	Shar ɸina, ɸinan ‘avispa’		None
1475	β i - a ( - )	509		marimbondo, caba	Katukina	βia		β i a		None		§92	Kat βinna [βia] ‘caba’		None
1476	w i n a ( - )	509		marimbondo, caba	Amawaka	wina_I		w i n a		None		§92	A wina I		None
1477	b i n a ( - )	509		marimbondo, caba	Kaxinawa	bina		b i n a		None		§92	Kn bina		None
1478	ɸ i n a ( - )	509		marimbondo, caba	Marinawa	ɸina		ɸ i n a		None		§92	M ɸina ‘avispa;;  abeja’		None
1479	b i n a ( - )	509		manioc, cassava	Matis	bina		b i n a		None	Ferreira2005	§92	Mt bina ‘nome próprio’ (FERREIRA;; 2005)		None
1480	b i n a ( - )	509		way, path	Mayoruna	biˈna		b i n a		None		§92	My biˈna ‘nombre de hombre’		None
1481	β i n o n ( - )	510		miriti palm	Proto-Panoan	βinon		β i n o n		None	Oliveira2014	§93	*βinon ‘buriti (Mauritia vinifera Mart.)’		None
1482	β i n ṍ - ( - )	510		miriti palm	Kakataibo	βinṍ		β i n ṍ		None		§93	Ksh βinṍ		None
1483	β i n ó/o - ( - )	510		miriti palm	ShipiboKonibo	βinó		β i n ó/o		None		§93	SK βinó		None
1484	β i n o n ( - )	510		miriti palm	Kapanawa	βinon		β i n o n		None		§93	Kp βinon ‘aguaje;;  palma real’		None
1485	β i n õ - ( - )	510		miriti palm	Marubo	βinõ		β i n õ		None	Cesarino2008	§93	Mar βinõ ‘buriti’ (CESARINO;; 2008)		None
1486	β i n o n ( a )	510		miriti palm	Chakobo	ˈβinona		β i n o n a		None		§93	Ch ˈβinona, βino ‘la palma real’		None
1487	β i n o - ( - )	510		miriti palm	Chakobo	βino		β i n o		None		§93	Ch ˈβinona, βino ‘la palma real’		None
1488	b i n u n ( i )	510		miriti palm	Kaxarari	binuˈni		b i n u n i		None	Lanes2005	§93	Kax binuˈni [binuˈni] ~ [biˈnui] (LANES;; 2005)		None
1489	v ĩ - o ʔ ( - )	510		miriti palm	Katukina	vĩoʔ		v ĩ o ʔ		None	Barros1987	§93	Kat βinu [vĩoʔ] (BARROS;; 1987)		None
1490	w i n õ - ( - )	510		miriti palm	Amawaka	winõ_I		w i n õ		None		§93	A winõ I		None
1491	β i n u n ( - )	510		miriti palm	Yawanawa	βinun-		β i n u n		None		§93	Yaw βinun-		None
1492	β ĩ p i ʃ ( - - )	511		guava	Proto-Panoan	βĩpiʃ		β ĩ p i ʃ		None	Oliveira2014	§94	*βĩpiʃ ‘goiaba(?)’		None
1493	β ĩ p !í/i ʃ ( - - )	511		guava	Kakataibo	βĩpíʃ		β ĩ p !í/i ʃ		None		§94	Ksh βĩpíʃ		None
1494	β ĩ p !í/i ʃ ( - - )	511		guava	ShipiboKonibo	βĩpíʃ		β ĩ p !í/i ʃ		None		§94	SK βĩpíʃ		None
1495	w ĩ p !í/i ʃ ( - - )	511		guava	Amawaka	wĩpíʃ_I		w ĩ p !í/i ʃ		None		§94	A wĩpíʃ I ‘guayabo;;  guayaba’, **wĩpiʃ, **wĩpiʃín ‘guayaba’ (HYDE;; 1980)		None
1496	w ĩ p i ʃ ( - - )	712		guava	Amawaka	wĩpiʃ		w ĩ p i ʃ		None		§94	A wĩpíʃ I ‘guayabo;;  guayaba’, **wĩpiʃ, **wĩpiʃín ‘guayaba’ (HYDE;; 1980)		1
1497	w ĩ p i ʃ ( !í/i n )	713		guava	Amawaka	wĩpiʃín		w ĩ p i ʃ !í/i n		None	Hyde1980	§94	A wĩpíʃ I ‘guayabo;;  guayaba’, **wĩpiʃ, **wĩpiʃín ‘guayaba’ (HYDE;; 1980)		1
1498	β o	512		pluralizer	Proto-Panoan	-βo		β o		None	Oliveira2014	§95	*-βo ‘pluralizador’		None
1499	β o	512		pluralizer	Kakataibo	-βo		β o		None		§95	Ksh -βo		None
1500	β o	512		pluralizer	ShipiboKonibo	-βo		β o		None		§95	SK -βo		None
1501	β o	512		pluralizer	Kapanawa	-βo		β o		None		§95	Kp -βo		None
1502	β o	512		pluralizer	Marubo	-βo		β o		None	Kennell1978	§95	Mar -βo ‘genérico;;  plural’ (KENNELL;; 1978)		None
1503	β o	512		pluralizer	Chakobo	βo		β o		None	Zingg1998	§95	Ch βo ‘plural del sustantivo’ (ZINGG;; 1998)		None
1504	ɸ o	512		pluralizer	Yaminawa	ɸo		ɸ o		None	Faust2002	§95	Yam ɸo ‘plural;; varios;;  sujeto plural’ (FAUST; LOOS;; 2002)		None
1505	ɸ o	512		pluralizer	Sharanawa	-ɸo		ɸ o		None		§95	Shar -ɸo ‘pluralizador del sujeto de un verbo intransitive;;  plural de verbo intransitivo’		None
1506	h u	512		pluralizer	Shanenawa	-hu		h u		None		§95	Shan -hu ‘seres humanos indefinidos;; plural’		None
1507	β u	512		pluralizer	Katukina	βu		β u		None		§95	Kat βu ‘plural’		None
1508	w o	512		pluralizer	Amawaka	-wo		w o		None		§95	A -wo		None
1509	b u	512		pluralizer	Kaxinawa	-bu		b u		None	Montag2008	§95	Kn -bu ‘plural’ (MONTAG;; 2008)		None
1510	ɸ o	512		pluralizer	Marinawa	-ɸo		ɸ o		None		§95	M -ɸo		None
1511	h u	512		pluralizer	Yawanawa	-_hu		h u		None		§95	Yaw - hu ‘plural’		None
1512	β o	512		pluralizer	Korubo	-βo		β o		None		§95	Ko -βo ‘plural’		None
1513	b o	512		pluralizer	Matis	-bo		b o		None		§95	Mt -bo ‘morfema coletivizador’		None
1514	b o	512		pluralizer	Mayoruna	-bo		b o		None		§95	My -bo ‘plural (varios o muchos)’		None
1515	β o - i r ( - - - - )	513		species of picapau (Picidae)	Proto-Panoan	βoir		β o i r		None	Oliveira2014	§96	*βoir ‘esp. de picapau (da fam. Picidae)’		None
1516	β o - ĩ - ( - - - - )	513		species of picapau (Picidae)	Kakataibo	βoĩ		β o ĩ		None		§96	Ksh βoĩ		None
1517	β o - ĩ - ( - - - - )	513		species of picapau (Picidae)	ShipiboKonibo	βoĩ		β o ĩ		None		§96	SK βoĩ		None
1518	β o - i n ( - - - - )	513		species of picapau (Picidae)	Kapanawa	βoin		β o i n		None	Loos1998	§96	Kp βoin ‘pájaro carpintero’ (LOOS; LOOS;; 1998)		None
1519	v o - ĩ - ( - - - - )	513		species of picapau (Picidae)	Marubo	voĩ		v o ĩ		None		§96	Mar voĩ ‘pica-pau’		None
1520	β o - !í/i n ( o - - - )	513		species of picapau (Picidae)	Chakobo	βoíno		β o !í/i n o		None		§96	Ch βoíno, βoí		None
1521	β o - !í/i !/n ( - - - - )	513		species of picapau (Picidae)	Chakobo	βoí		β o !í/i !/n		None		§96	Ch βoíno, βoí		None
1522	b ʊ h i l ( ʊ - - - )	513		species of picapau (Picidae)	Kaxarari	bʊhiˈlʊ		b ʊ h i l ʊ		None	Couto2005	§96	Kax buhiˈlu [bʊhiˈlʊ] ~ [buiˈlʊ] ‘pica-pau’ (COUTO;; 2005)		None
1523	ɸ o - i n ( - - - - )	513		species of picapau (Picidae)	Sharanawa	ɸoin		ɸ o i n		None		§96	Shar ɸoin, ɸoinpan ‘pájaro carpintero’		None
1524	ɸ o - i n ( - p a n )	513		species of picapau (Picidae)	Sharanawa	ɸoinpan		ɸ o i n p a n		None		§96	Shar ɸoin, ɸoinpan ‘pájaro carpintero’		None
1525	f u - i n ( - - - - )	513		species of picapau (Picidae)	Shanenawa	fuin		f u i n		None		§96	Shan fuin ‘pica-pau’		None
1526	β u - i n ( - - - - )	513		species of picapau (Picidae)	Katukina	βuin		β u i n		None		§96	Kat βuin ‘pica-pau’		None
1527	w o w ĩ - ( - - - - )	513		species of picapau (Picidae)	Amawaka	wowĩ_I		w o w ĩ		None		§96	A wowĩ I		None
1528	b ũ - ĩ - ( - - - - )	513		species of picapau (Picidae)	Kaxinawa	bũĩ		b ũ ĩ		None		§96	Kn bũĩ		None
1529	ɸ ṍ/õ - ĩ - ( - - - - )	513		species of picapau (Picidae)	Marinawa	ɸṍĩ		ɸ ṍ/õ ĩ		None		§96	M ɸṍĩ		None
1530	β o ʔ rⁿ a rⁿ ( + ) t i ( - - - - - )	514		type of box	Proto-Panoan	βoʔ[n]a[n]-ti		β o ʔ rⁿ a rⁿ + t i		None	Oliveira2014	§97	*βoʔ[n]a[n]-ti ‘tipo de caixa’		None
1531	β o - n ã́/ã - ( + ) t i ( - - - - - )	514		type of box	Kakataibo	βonã́-ti		β o n ã́/ã + t i		None		§97	Ksh βonã́-ti		None
1532	β o - n ã́/ã - ( - ) t i ( - - - - - )	514		type of box	ShipiboKonibo	βonã́ti		β o n ã́/ã t i		None		§97	SK βonã́ti		None
1533	β o ʔ n á/a n ( - ) t i ( - - - - - )	514		type of box	Kapanawa	βoʔnánti		β o ʔ n á/a n t i		None		§97	Kp βoʔnánti		None
1534	β o - n a - ( - ) - - ( + n a ʔ a )	514		type of box	Chakobo	βoˈna-naʔa		β o n a + n a ʔ a		None	Zingg1998	§97	Ch βoˈna-naʔa ‘nido de la tocandera’ (ZINGG;; 1998)		None
1535	β u - n a - ( - ) t i ( - - - - - )	514		type of box	Katukina	βunati		β u n a t i		None		§97	Kat βunati ‘mala’		None
1536	w o - n ã - ( - ) t i ( - - - - - )	514		type of box	Amawaka	wonãti		w o n ã t i		II		§97	A wonãti II		None
1537	b u - n ã - ( - ) t i ( - - - - - )	514		type of box	Kaxinawa	bunãti		b u n ã t i		None		§97	Kn bunãti ‘baúl;;  caja’		None
1538	ɸ ṍ/õ - n ã - ( - ) t i ( - - - - - )	514		type of box	Marinawa	ɸṍnãti		ɸ ṍ/õ n ã t i		None		§97	M ɸṍnãti ‘caja’		None
1539	β o ʔ ɽ ɨ t	515		species of palm	Proto-Panoan	βoʔɽɨ[t]		β o ʔ ɽ ɨ t		None	Oliveira2014	§98	*βoʔɽɨ[t] ‘esp. de palmeira’		None
1540	β u - ɾ ɨ -	515		species of palm	Kakataibo	βuɾɨ		β u ɾ ɨ		None		§98	Ksh βuɾɨ ‘chonta (especie de palmera)’, βoɾɨ́		None
1541	β o - ɾ ɨ́ -	515		species of palm	Kakataibo	βoɾɨ́		β o ɾ ɨ́		None		§98	Ksh βuɾɨ ‘chonta (especie de palmera)’, βoɾɨ́		None
1542	β o - r ɨ́ -	515		species of palm	ShipiboKonibo	βorɨ́		β o r ɨ́		None		§98	SK βorɨ́		None
1543	β o ʔ ɾ ɨ́ -	515		species of palm	Kapanawa	βoʔɾɨ́		β o ʔ ɾ ɨ́		None		§98	Kp βoʔɾɨ́		None
1544	ɸ o - ɾ ɨ -	515		species of palm	Sharanawa	ɸoɾɨ		ɸ o ɾ ɨ		None		§98	Shar ɸoɾɨ, ɸoɾɨn ‘chonta;;  (espécie de palmera y su cogollo comestible)’		None
1545	ɸ o - ɾ ɨ n	515		species of palm	Sharanawa	ɸoɾɨn		ɸ o ɾ ɨ n		None		§98	Shar ɸoɾɨ, ɸoɾɨn ‘chonta;;  (espécie de palmera y su cogollo comestible)’		None
1546	ɸ u - ɾ ɨ -	515		species of palm	Shanenawa	ɸuɾɨ		ɸ u ɾ ɨ		None		§98	Shan ɸuɾɨ ‘palmeira’		None
1547	b u - d ɨ -	515		species of palm	Kaxinawa	budɨ		b u d ɨ		None		§98	Kn budɨ		None
1548	ɸ ó/o - ɾ ɨ̃ -	515		species of palm	Marinawa	ɸóɾɨ̃		ɸ ó/o ɾ ɨ̃		None		§98	M ɸóɾɨ̃		None
1549	β o - ɬ ɨ t	515		species of palm	Korubo	βoɬɨt		β o ɬ ɨ t		None		§98	Ko βoɬɨt ‘palmeira que utilizam para cobrir a casa (prov. Jarina)’		None
1550	b u - ɾ ɨ d	515	0	species of palm	Mayoruna	buˈɾɨd		b u ɾ ɨ d		None		§98	My budɨd [buˈɾɨd] ‘palmera grande’		None
1551	( - - - - - ) β o ʔ ɽ o tʳ ( - )	516		tree stump	Proto-Panoan	βoʔɽo[Cc]		β o ʔ ɽ o tʳ		None	Oliveira2014	§99	*βoʔɽo[Cc] ‘toco;;  tronco’		None
1552	( - - - - - ) β u - ɾ ú/u - ( - )	516		tree stump	Kakataibo	βuɾú		β u ɾ ú/u		None	Shell1987	§99	Ksh βuɾú ‘tronco de árbol’ (SHELL;; 1987), βoɾó		None
